epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2525.09,1.07815,1.04471,1.40106,0.89664,0.78975,0.86885,0.54921,1.33014,0.84744,1.83447,0.005743,0.005743,0.005743
45,2581.52,1.07215,1.03095,1.39909,0.89489,0.7945,0.86644,0.54787,1.33883,0.82471,1.8211,0.005644,0.005644,0.005644
46,2638.3,1.07152,1.02495,1.39045,0.87716,0.82155,0.88224,0.54999,1.34041,0.8309,1.83323,0.005545,0.005545,0.005545
47,2695.01,1.06562,1.02187,1.39037,0.86432,0.81982,0.8655,0.54867,1.34054,0.84753,1.82745,0.005446,0.005446,0.005446
48,2751.3,1.04963,1.00221,1.38168,0.88575,0.8132,0.87107,0.5509,1.34689,0.83391,1.84173,0.005347,0.005347,0.005347
49,2807.14,1.05731,1.01638,1.38168,0.90287,0.80167,0.87235,0.55177,1.33732,0.83771,1.82492,0.005248,0.005248,0.005248
50,2863.91,1.04746,0.99889,1.37745,0.88067,0.81519,0.87477,0.55405,1.31647,0.83614,1.82144,0.005149,0.005149,0.005149
51,2920.44,1.04968,0.98509,1.37526,0.88681,0.8108,0.87846,0.56272,1.29499,0.81388,1.7939,0.00505,0.00505,0.00505
52,2976.6,1.03548,0.97731,1.36471,0.87719,0.82562,0.88243,0.55975,1.30618,0.82047,1.80975,0.004951,0.004951,0.004951
53,3032.51,1.01889,0.95393,1.35163,0.89629,0.7996,0.87106,0.55348,1.31645,0.82657,1.83331,0.004852,0.004852,0.004852
54,3089.21,1.01814,0.94845,1.35308,0.87879,0.83192,0.88391,0.56449,1.31067,0.81221,1.82206,0.004753,0.004753,0.004753
55,3146.01,1.01672,0.95435,1.35271,0.90436,0.82147,0.88252,0.5588,1.30239,0.80358,1.81924,0.004654,0.004654,0.004654
56,3201.99,1.02029,0.94486,1.35708,0.89388,0.81734,0.88038,0.56508,1.3069,0.79712,1.81193,0.004555,0.004555,0.004555
57,3259.17,0.99704,0.92084,1.33726,0.90313,0.80579,0.87116,0.55769,1.31321,0.81354,1.82701,0.004456,0.004456,0.004456
58,3315.49,0.9937,0.92246,1.33372,0.89272,0.80666,0.87844,0.56111,1.32226,0.79957,1.83737,0.004357,0.004357,0.004357
59,3372.66,0.99376,0.92172,1.33456,0.90656,0.81752,0.88179,0.55873,1.32669,0.78931,1.86109,0.004258,0.004258,0.004258
60,3429.37,0.98775,0.91727,1.32814,0.87991,0.83421,0.8859,0.5638,1.3233,0.78141,1.84111,0.004159,0.004159,0.004159
61,3486.06,0.97992,0.91066,1.32254,0.89899,0.81355,0.88019,0.56139,1.31391,0.80044,1.83411,0.00406,0.00406,0.00406
62,3542.41,0.97686,0.89965,1.32426,0.87641,0.83194,0.88224,0.56227,1.32008,0.7958,1.84344,0.003961,0.003961,0.003961
63,3598.66,0.96522,0.88476,1.31419,0.90507,0.80595,0.87675,0.56013,1.31603,0.80662,1.84357,0.003862,0.003862,0.003862
64,3655.1,0.96688,0.87931,1.31075,0.89154,0.82174,0.87742,0.55881,1.31873,0.80393,1.84596,0.003763,0.003763,0.003763
65,3711.37,0.95463,0.86298,1.30262,0.89583,0.82411,0.88,0.55957,1.32183,0.79198,1.85337,0.003664,0.003664,0.003664
66,3768.1,0.95001,0.8642,1.30118,0.88459,0.83562,0.88498,0.56369,1.33075,0.77713,1.86229,0.003565,0.003565,0.003565
67,3824.56,0.94879,0.84737,1.30076,0.9008,0.81783,0.87737,0.56325,1.3323,0.77922,1.8743,0.003466,0.003466,0.003466
68,3881.28,0.93815,0.84661,1.29674,0.90871,0.81643,0.87695,0.55825,1.32992,0.79116,1.87482,0.003367,0.003367,0.003367
69,3937.72,0.93611,0.84086,1.29229,0.91689,0.8023,0.87664,0.55696,1.33421,0.79389,1.88003,0.003268,0.003268,0.003268
70,3994.24,0.92674,0.84138,1.2877,0.89652,0.80757,0.87376,0.55351,1.34042,0.78394,1.88682,0.003169,0.003169,0.003169
71,4050.39,0.91955,0.8279,1.28409,0.87263,0.82701,0.87472,0.55364,1.34904,0.78003,1.89639,0.00307,0.00307,0.00307
72,4106.96,0.91603,0.82058,1.27509,0.89273,0.8128,0.88049,0.55595,1.34855,0.77734,1.89831,0.002971,0.002971,0.002971
73,4163.54,0.90867,0.81348,1.27429,0.90982,0.81012,0.88301,0.55826,1.34867,0.78793,1.90114,0.002872,0.002872,0.002872
74,4219.95,0.89968,0.81021,1.26756,0.8952,0.81729,0.88288,0.5551,1.34833,0.78163,1.90976,0.002773,0.002773,0.002773
75,4276.66,0.89694,0.80234,1.26879,0.89793,0.82221,0.88379,0.55381,1.35864,0.78411,1.92593,0.002674,0.002674,0.002674
76,4332.79,0.89049,0.79318,1.26259,0.90847,0.81688,0.88607,0.55514,1.36088,0.78271,1.93496,0.002575,0.002575,0.002575
77,4389.77,0.8838,0.79029,1.25507,0.91963,0.81058,0.88284,0.55504,1.3598,0.7771,1.93954,0.002476,0.002476,0.002476
78,4446.79,0.87679,0.78711,1.25463,0.90344,0.82476,0.88588,0.55741,1.35508,0.77185,1.93901,0.002377,0.002377,0.002377
79,4503.77,0.87359,0.76807,1.25034,0.90968,0.82295,0.88371,0.55905,1.35336,0.7693,1.94182,0.002278,0.002278,0.002278
80,4560.44,0.87363,0.77657,1.24692,0.89037,0.82626,0.88026,0.55933,1.35223,0.77145,1.94448,0.002179,0.002179,0.002179
81,4616.19,0.86725,0.77201,1.24453,0.88453,0.83105,0.87998,0.5587,1.35121,0.77385,1.94842,0.00208,0.00208,0.00208
82,4672.05,0.85499,0.76639,1.2367,0.88828,0.83406,0.8803,0.55924,1.34967,0.78086,1.949,0.001981,0.001981,0.001981
83,4728.55,0.85783,0.7541,1.23651,0.90105,0.82492,0.88345,0.55939,1.35017,0.77795,1.95123,0.001882,0.001882,0.001882
84,4784.94,0.85345,0.7532,1.24088,0.89904,0.83249,0.88537,0.55859,1.35147,0.77614,1.95468,0.001783,0.001783,0.001783
85,4841.64,0.84013,0.74389,1.22487,0.90492,0.81663,0.88229,0.55732,1.35112,0.77634,1.95716,0.001684,0.001684,0.001684
86,4898.36,0.83913,0.73964,1.22826,0.90392,0.82163,0.88364,0.55762,1.35794,0.77284,1.9684,0.001585,0.001585,0.001585
87,4954.92,0.83042,0.73715,1.22383,0.89905,0.8205,0.88397,0.55817,1.36378,0.77324,1.97576,0.001486,0.001486,0.001486
88,5012.11,0.82162,0.72828,1.21418,0.90182,0.82271,0.88381,0.55683,1.37024,0.77423,1.9854,0.001387,0.001387,0.001387
89,5069.48,0.81991,0.72131,1.21099,0.89642,0.82201,0.88177,0.55668,1.37118,0.77543,1.98851,0.001288,0.001288,0.001288
90,5127.21,0.8142,0.71937,1.20816,0.90584,0.80771,0.87874,0.55392,1.37292,0.77755,1.99773,0.001189,0.001189,0.001189
91,5184.85,0.61211,0.36676,1.12673,0.90786,0.81318,0.88261,0.55402,1.36875,0.77512,2.00622,0.00109,0.00109,0.00109
92,5241.16,0.58304,0.33226,1.10088,0.90361,0.81548,0.88207,0.55661,1.36925,0.77301,2.01268,0.000991,0.000991,0.000991
93,5297.26,0.57073,0.32586,1.08782,0.90295,0.81614,0.88353,0.5595,1.36366,0.77175,2.01203,0.000892,0.000892,0.000892
94,5353.91,0.55196,0.31254,1.07846,0.90415,0.80775,0.88242,0.5589,1.36348,0.7715,2.01856,0.000793,0.000793,0.000793
95,5409.91,0.54492,0.30602,1.06582,0.88941,0.81853,0.88203,0.55913,1.36332,0.77338,2.02395,0.000694,0.000694,0.000694
96,5465.85,0.54151,0.30466,1.0662,0.89755,0.81245,0.88304,0.55905,1.36485,0.77411,2.03239,0.000595,0.000595,0.000595
97,5522.02,0.53152,0.30049,1.06103,0.88705,0.82445,0.88287,0.55869,1.36423,0.78007,2.03715,0.000496,0.000496,0.000496
98,5578.08,0.52082,0.29181,1.04694,0.90554,0.80869,0.88261,0.55902,1.36326,0.78292,2.04136,0.000397,0.000397,0.000397
99,5633.56,0.51844,0.29486,1.04969,0.90468,0.81135,0.88286,0.55939,1.36261,0.78267,2.04541,0.000298,0.000298,0.000298
100,5689.41,0.50638,0.28483,1.04006,0.89903,0.81294,0.88055,0.55907,1.3651,0.78417,2.05396,0.000199,0.000199,0.000199
